spoofed,time_sin,time_cos,lat_sin,lat_cos,long_sin,long_cos,n_satellites,sat_prn_0,sat_prn_1,sat_prn_2,sat_prn_3,sat_prn_4,sat_prn_5,sat_prn_6,sat_prn_7,sat_prn_8,sat_prn_9,sat_prn_10,sat_prn_11,sat_prn_12,sat_prn_13,sat_prn_14,sat_prn_15
1,0.14737785749363805,0.9890802632347816,-0.9942733294883652,-0.10686695592240256,-0.21831695682208582,-0.9758779157066438,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.14744978505037076,0.9890695429991763,-0.9942732650151206,-0.10686755576961475,-0.2183171231707114,-0.975877878492214,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.1475217118273157,0.9890588175328798,-0.9942732121057557,-0.1068680480260728,-0.2183172250805304,-0.9758778556935991,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
1,0.14759363782409254,0.9890480868359488,-0.9942731555900776,-0.10686857383229863,-0.21831730825483886,-0.9758778370863649,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.14766556304032089,0.9890373509084401,-0.9942731038615127,-0.10686905509825363,-0.21831737468073592,-0.9758778222259747,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
1,0.14773748747562035,0.9890266097504106,-0.9942730539357657,-0.10686951958929189,-0.2183174683582811,-0.9758778012690067,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.14780941112961063,0.9890158633619168,-0.994273001958045,-0.10687000316897861,-0.21831758701650109,-0.9758777747235011,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.14788133400191128,0.9890051117430158,-0.9942729555136389,-0.10687043526707213,-0.21831763839721355,-0.9758777632289115,11,09,23,06,07,03,30,26,22,19,16,02,-1,-1,-1,-1,-1
0,0.1479532560921419,0.9889943548937643,-0.9942729065820466,-0.10687089050292793,-0.2183176676359607,-0.9758777566877904,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.14802517739992224,0.9889835928142193,-0.9942728595776777,-0.10687132780698216,-0.21831768722308262,-0.9758777523058737,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.14809709792487186,0.9889728255044377,-0.9942728196611184,-0.10687169916834502,-0.21831772497796914,-0.9758777438595696,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
0,0.1481690176666105,0.9889620529644764,-0.9942727751434213,-0.10687211333458167,-0.21831775819091506,-0.9758777364293609,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
0,0.14824093662475774,0.9889512751943923,-0.994272725838005,-0.10687257204102224,-0.2183177942425726,-0.9758777283640906,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.1483128547989332,0.9889404921942425,-0.9942726848018099,-0.10687295381433413,-0.2183178254684188,-0.975877721378422,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
0,0.14838477218875662,0.988929703964084,-0.9942726420245293,-0.10687335178407334,-0.21831782319744827,-0.9758777218864706,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.14845668879384763,0.9889189105039738,-0.9942725927807182,-0.10687380991200816,-0.21831782092647775,-0.9758777223945193,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.14852860461382592,0.9889081118139692,-0.9942725522414629,-0.10687418705771448,-0.2183177925393447,-0.975877728745127,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.14860051964831117,0.988897307894127,-0.9942725062926555,-0.10687461452805916,-0.21831772980378247,-0.9758777427799666,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.148672433896923,0.9888864987445046,-0.9942724602193096,-0.1068750431552726,-0.21831764662948205,-0.9758777613872368,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
0,0.14874434735928113,0.9888756843651589,-0.9942724068709939,-0.10687553946044268,-0.21831754415192936,-0.9758777843129078,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
0,0.14881626003500525,0.9888648647561474,-0.9942723619786297,-0.10687595709717346,-0.21831740874529812,-0.9758778146052601,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.14888817192371506,0.9888540399175271,-0.9942723272833026,-0.10687627986903947,-0.21831723899022765,-0.9758778525818095,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.14896008302503022,0.9888432098493553,-0.994272285872614,-0.10687666511286327,-0.21831719129983856,-0.9758778632508013,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.14903199333857048,0.9888323745516893,-0.9942722490629876,-0.10687700755180428,-0.21831691622847893,-0.9758779247879764,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
0,0.14910390286395545,0.9888215340245863,-0.9942722052270455,-0.10687741535491893,-0.2183168449767614,-0.9758779407279339,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.14917581160080493,0.9888106882681038,-0.994272158219807,-0.1068778526586647,-0.21831658608605,-0.9758779986451853,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.1492477195487386,0.988799837282299,-0.9942721141969806,-0.10687826219707337,-0.21831635785343578,-0.9758780497037581,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.1493196267073762,0.9887889810672295,-0.9942720714797548,-0.10687865958813927,-0.21831607483362356,-0.9758781130188543,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
0,0.14939153307633737,0.9887781196229524,-0.9942720229796551,-0.10687911077448317,-0.21831583127192414,-0.9758781675066047,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
0,0.14946343865524192,0.9887672529495254,-0.9942719574420157,-0.10687972045445544,-0.21831573702660134,-0.9758781885904264,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.14953534344370953,0.9887563810470058,-0.9942719326943089,-0.10687995067515586,-0.21831546110353514,-0.9758782503177078,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.14960724744135995,0.9887455039154512,-0.9942719160299939,-0.10688010569813594,-0.21831523712893477,-0.9758783004234375,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
0,0.1496791506478129,0.9887346215549192,-0.9942719104959437,-0.1068801571796474,-0.21831505147697602,-0.9758783419559045,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
0,0.14975105306268813,0.9887237339654672,-0.9942719010445258,-0.10688024510312813,-0.2183148056442469,-0.9758783969514412,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
0,0.14982295468560541,0.9887128411471529,-0.9942718708248086,-0.106880526226881,-0.21831462141162783,-0.9758784381663003,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
0,0.14989485551618442,0.9887019431000337,-0.9942718652907366,-0.10688057770839013,-0.21831423648181475,-0.9758785242792067,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.14996675555404498,0.9886910398241674,-0.9942718559014623,-0.10688066505342207,-0.21831385183584015,-0.9758786103284562,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.15003865479880682,0.9886801313196116,-0.9942718504295638,-0.10688071595648652,-0.218313478260824,-0.9758786939008663,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.15011055325008973,0.9886692175864241,-0.9942718472583486,-0.10688074545712639,-0.21831311887935656,-0.975878774297898,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
0,0.15018245090751342,0.9886582986246625,-0.9942718435275062,-0.10688078016376125,-0.21831280662055422,-0.9758788441530314,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
1,0.1502543477706977,0.9886473744343846,-0.9942718467609031,-0.1068807500846776,-0.21831253183278976,-0.975878905625466,11,09,23,06,07,03,30,16,22,26,19,02,-1,-1,-1,-1,-1
